SubjectArea,TableType,TableDetail,TableKind,TableName
account,dim,site,V ,dim_account_site
account,dim,team,V ,dim_account_team
account,tdim,site,O ,tdim_account_site
account,tdim,team,O ,tdim_account_team
audit,dat,detail,V ,dat_audit_detail
audit,dat,summary,V ,dat_audit_summary
audit,dim,rule,V ,dim_audit_rule
audit,sp0,logger,P ,sp0_audit_logger
audit,tdat,detail,O ,tdat_audit_detail
audit,tdim,rule,O ,tdim_audit_rule
dashboard,rpt,COA,V ,rpt_dashboard_COA
dashboard,rpt,CSMKPI,V ,rpt_dashboard_CSMKPI
dashboard,rpt,Customer360,V ,rpt_dashboard_Customer360
dashboard,rpt,Customer_Engagement,V ,rpt_dashboard_Customer_Engagement
dashboard,rpt,SHC_SiteCoverage,V ,rpt_dashboard_SHC_SiteCoverage
dashboard,rpt,TCA,V ,rpt_dashboard_TCA
dashboard,rpt,TCA_ChangeControl,V ,rpt_dashboard_TCA_ChangeControl
dashboard,rpt,TCA_SiteCoverage,V ,rpt_dashboard_TCA_SiteCoverage
dashboard,rpt,Telemetry,V ,rpt_dashboard_Telemetry
dashboard,sp1,COA,P ,sp1_dashboard_COA
dashboard,sp1,CSMKPI,P ,sp1_dashboard_CSMKPI
dashboard,sp1,Customer360,P ,sp1_dashboard_Customer360
dashboard,sp1,Customer_Engagement,P ,sp1_dashboard_Customer_Engagement
dashboard,sp1,TCA,P ,sp1_dashboard_TCA
dashboard,sp1,Telemetry,P ,sp1_dashboard_Telemetry
dashboard,sp2,SHC_SiteCoverage,P ,sp2_dashboard_SHC_SiteCoverage
dashboard,sp2,TCA_ChangeControl,P ,sp2_dashboard_TCA_ChangeControl
dashboard,sp2,TCA_SiteCoverage,P ,sp2_dashboard_TCA_SiteCoverage
dashboard,trpt,COA,O ,trpt_dashboard_COA
dashboard,trpt,CSMKPI,O ,trpt_dashboard_CSMKPI
dashboard,trpt,Customer360,O ,trpt_dashboard_Customer360
dashboard,trpt,Customer_Engagement,O ,trpt_dashboard_Customer_Engagement
dashboard,trpt,SHC_SiteCoverage,O ,trpt_dashboard_SHC_SiteCoverage
dashboard,trpt,TCA,O ,trpt_dashboard_TCA
dashboard,trpt,TCA_ChangeControl,O ,trpt_dashboard_TCA_ChangeControl
dashboard,trpt,TCA_SiteCoverage,O ,trpt_dashboard_TCA_SiteCoverage
dashboard,trpt,Telemetry,O ,trpt_dashboard_Telemetry
dbobject,dat,column,V ,dat_dbobject_column
dbobject,dat,index,V ,dat_dbobject_index
dbobject,dat,permspace,V ,dat_dbobject_permspace
dbobject,dat,table,V ,dat_dbobject_table
dbobject,dim,columntype,V ,dim_dbobject_columntype
dbobject,dim,datatype,V ,dim_dbobject_datatype
dbobject,dim,indextype,V ,dim_dbobject_indextype
dbobject,dim,objecttype,V ,dim_dbobject_objecttype
dbobject,dim,tablekind,V ,dim_dbobject_tablekind
dbobject,dim,tdinternal,V ,dim_dbobject_tdinternal
dbobject,tdat,column,O ,tdat_dbobject_column
dbobject,tdat,index,O ,tdat_dbobject_index
dbobject,tdat,permspace,O ,tdat_dbobject_permspace
dbobject,tdat,table,O ,tdat_dbobject_table
dbobject,tdim,columntype,O ,tdim_dbobject_columntype
dbobject,tdim,datatype,O ,tdim_dbobject_datatype
dbobject,tdim,indextype,O ,tdim_dbobject_indextype
dbobject,tdim,objecttype,O ,tdim_dbobject_objecttype
dbobject,tdim,tablekind,O ,tdim_dbobject_tablekind
dbobject,tdim,tdinternal,O ,tdim_dbobject_tdinternal
dbql,dat,detail,V ,dat_dbql_detail
dbql,dat,monthly,V ,dat_dbql_monthly
dbql,dat,quarterly,V ,dat_dbql_quarterly
dbql,dat,summary,V ,dat_dbql_summary
dbql,dat,weekly,V ,dat_dbql_weekly
dbql,dim,app,V ,dim_dbql_app
dbql,dim,statement,V ,dim_dbql_statement
dbql,dim,user,V ,dim_dbql_user
dbql,sp1,summary,P ,sp1_dbql_summary
dbql,tdat,detail,O ,tdat_dbql_detail
dbql,tdim,app,O ,tdim_dbql_app
dbql,tdim,statement,O ,tdim_dbql_statement
dbql,tdim,user,O ,tdim_dbql_user
feature,dat,override,V ,dat_feature_override
feature,dat,usage,V ,dat_feature_usage
feature,dim,,V ,dim_feature
feature,sp1,usage_coa,P ,sp1_feature_usage_coa
feature,sp1,usage_rdm,P ,sp1_feature_usage_rdm
feature,sp1,usage_tca,P ,sp1_feature_usage_tca
feature,sp2,usage,P ,sp2_feature_usage
feature,tdat,override,O ,tdat_feature_override
feature,tdat,usage,O ,tdat_feature_usage
feature,tdim,,O ,tdim_feature
metric,dat,cds,V ,dat_metric_cds
metric,dat,concurrency,V ,dat_metric_concurrency
metric,dat,cpu,V ,dat_metric_cpu
metric,dat,io,V ,dat_metric_io
metric,dat,querycount,V ,dat_metric_querycount
metric,dat,runtime,V ,dat_metric_runtime
metric,tdat,concurrency,O ,tdat_metric_concurrency
nps,dat,detail,V ,dat_nps_detail
nps,dat,summary,V ,dat_nps_summary
nps,sp1,detail,P ,sp1_nps_detail
nps,tdat,detail,O ,tdat_nps_detail
