FunctionName,StepGroupName
END,AFUNC
NGRAM,OFUNC
SKEW,AFUNC
HASHROW,OFUNC
XMLPARSE,FLEX
XMLTABLE,FLEX
OADD_MONTHS,SFUNC
ATANH,AFUNC
WIDTH_BUCKET,AFUNC
JSON_Table,FLEX
MONTHS_BETWEEN,AFUNC
JSONGETVALUE,FLEX
OREPLACE,TRANSF
PRIOR,AFUNC
NVP,TRANSF
INDEX,TFUNC
ROUND,AFUNC
MCHARACTERS,TFUNC
ABS,SFUNC
NPATH,OFUNC
CASE_N,TRANSF
MINIMUM,AGG
OTRANSLATE,TRANSF
NUMTODSINTERVAL,AFUNC
RANK,AFUNC
EXP,NULL
ASIN,AFUNC
COVAR_SAMP,AFUNC
FORMAT,TRANSF
TRYCAST,TRANSF
OCTET_LENGTH,SFUNC
NVL2,TRANSF
XMLTEXT,FLEX
XMLPI,FLEX
TO_BYTES,TRANSF
LEFT,AFUNC
JSON_Check,FLEX
MSUBSTR,TFUNC
CHARACTERS,TFUNC
STRTOK,TFUNC
VAR_POP,AFUNC
HASHAMP,OFUNC
EDITDISTANCE,OFUNC
PRECEDES,AFUNC
SUCCEEDS,AFUNC
RIGHT,AFUNC
NVL,TRANSF
ACOS,AFUNC
JSON_KEYS,FLEX
P_INTERSECT,AFUNC
RANGE_N,SFUNC
REGEXP_REPLACE,OFUNC
XMLAGG,FLEX
ASINH,AFUNC
CAST,TRANSF
REGEXP_SIMILAR,OFUNC
UPPER,TFUNC
COSH,AFUNC
LN,AFUNC
SUM,AGG
NVP2JSON,FLEX
EMPTY_CLOB,FLEX
POWER,AFUNC
TO_TIMESTAMP_TZ,TRANSF
TAN,AFUNC
NULLIFZERO,SFUNC
FROM_BYTES,TRANSF
MINDEX,TFUNC
JSONMETADATA,FLEX
XMLQUERY,FLEX
INSTR,TFUNC
LPAD,TRANSF
SOUNDEX,OFUNC
TO_DATE,TRANSF
DECODE,OFUNC
XMLCOMMENT,FLEX
REGR_AVGY,AFUNC
CSUM,AGG
CONTAINS,TFUNC
MLINREG,AFUNC
MDIFF,AGG
TRANSLATE_CHK,TRANSF
TO_DSINTERVAL,TRANSF
COUNT,AGG
MSUM,AGG
ATAN2,AFUNC
RTRIM,TRANSF
XMLCONCAT,FLEX
JSON_Agg,FLEX
GREATEST,AGG
REGEXP_INSTR,OFUNC
AVERAGE,AGG
PERCENT_RANK,AGG
TITLE,AFUNC
MAXIMUM,AGG
TO_CHAR,TRANSF
P_NORMALIZE,AFUNC
FLOOR,AFUNC
HASHBAKAMP,OFUNC
XMLVALIDATE,FLEX
REGR_COUNT,AFUNC
REGR_SYY,AFUNC
CHR,TRANSF
RANDOM,SFUNC
RDIFF,AFUNC
MAVG,AGG
NEXT_DAY,SFUNC
EMPTY_BLOB,FLEX
TANH,AFUNC
TYPE,TRANSF
LTRIM,TRANSF
CORR,AFUNC
XMLELEMENT,FLEX
TO_YMINTERVAL,TRANSF
ASCII,TRANSF
REGR_AVGX,AFUNC
BSON_CHECK,FLEX
TRUNC,TRANSF
INITCAP,TFUNC
HASHBUCKET,OFUNC
VAR_SAMP,AFUNC
XMLFOREST,FLEX
REGR_INTERCEPT,AFUNC
VARGRAPHIC,FLEX
COVAR_POP,AFUNC
LOWER,TFUNC
REGR_SXY,AFUNC
CHAR2HEXINT,TRANSF
INTERVAL,AFUNC
XMLSPLIT,FLEX
CHAR_LENGTH,TFUNC
SUBSTR,TFUNC
COS,AFUNC
ACOSH,AFUNC
NEXT,SFUNC
STDDEV_SAMP,AFUNC
BYTES,TFUNC
TRIM,TRANSF
LENGTH,TFUNC
TO_TIMESTAMP,TRANSF
REGR_R2,AFUNC
NAMED,SFUNC
SIN,AFUNC
LAST,AFUNC
LAST_DAY,AFUNC
GEOMETRYTOROWS,OFUNC
XMLDOCUMENT,FLEX
JSON_Compose,FLEX
MEETS,AFUNC
RPAD,TRANSF
ATAN,AFUNC
SIGN,AFUNC
TRUNCATE,TRANSF
POSITION,TFUNC
BEGIN,AFUNC
REGR_SXX,AFUNC
XMLSERIALIZE,FLEX
STDDEV_POP,AFUNC
ROW_NUMBER,AFUNC
QUANTILE,AFUNC
REGR_SLOPE,AFUNC
LEAST,AFUNC
LOG,AFUNC
KURTOSIS,AFUNC
NUMTOYMINTERVAL,AFUNC
SINH,AFUNC
ARRAY_TO_JSON,FLEX
SQRT,AFUNC
TO_NUMBER,TRANSF
TRANSLATE,TRANSF
REGEXP_SUBSTR,OFUNC
REVERSE,TFUNC
ADD_MONTHS,SFUNC
