IndexKind,UniqueFlag,IndexKindDesc
P,Y,Unique Primary Index (UPI)
P,N,Non-Unique Primary Index (NUPI)
Q,Y,Partitioned Primary Index (unique)
Q,N,Partitioned Primary Index (non-unique)
A,N,Primary AMP Index
S,Y,Unique Secondary Index (USI)
S,N,Non-Unique Secondary Index (NUSI)
U,Y,Unique Secondary with NOT NULL
K,Y,Primary Key
J,Y,Join Index (unique)
J,N,Join Index (non-unique)
N,N,HASH Index
V,N,Value Ordered Secondary Index
H,N,Hash Ordered ALL (covering) Secondary Index
O,N,Value Ordered ALL (covering) Secondary Index
I,N,Ordering Column of a Composite Secondary Index
M,N,Multi-Column Statistics
D,N,Derived Column Partition Statistics
G,N,Geospatial nonunique secondary index
