SiteID,dbname
Default,All
Default,ARCUSERS
Default,console
Default,Crashdumps
Default,dbadip
Default,dbadmin
Default,DBC
Default,DBCMANAGER
Default,dbcmngr
Default,dbcpurge
Default,Default
Default,DLADMIN
Default,External_AP
Default,GTMOPS
Default,LockLogShredder
Default,PDCRAccess
Default,PDCRADM
Default,PDCRAdmin
Default,PDCRDATA
Default,PDCRHIGA
Default,PDCRINFO
Default,PDCRSTG
Default,PDCRTPCD
Default,PUBLIC
Default,SECADMIN
Default,SPOOL_RESERVE
Default,SQLJ
Default,Sys_Calendar
Default,SysAdmin
Default,SYSBACK
Default,SYSBAR
Default,SYSDBA
Default,SYSJDBC
Default,SYSLIB
Default,SYSSPATIAL
Default,SystemFe
Default,SYSUDTLIB
Default,SYSUIF
Default,SYSXML
Default,TACADMIN
Default,TD_COD
Default,td_ffe_svc_acct
Default,TD_RECONFIG
Default,TD_SERVER_DB
Default,TD_SYSFNLIB
Default,TD_SYSGPL
Default,TD_SYSXML
Default,TDAP_Admin
Default,TDMaps
Default,TDPUSER
Default,TDQCD
Default,TDStats
Default,tdwm
Default,USERSPACE
Default,Viewpoint
