SuperCategory,FeatureCategory,FeatureBitPos,FeatureName
Data Optimization,Columnar,24,Teradata Columnar
Data Optimization,Columnar,30,Column Partitioning and Row Partitioning
Data Optimization,Columnar,31,Column-Partitioned and a NoPI
Data Optimization,Columnar,32,Column-Partitioned and a PI
Data Optimization,Columnar,33,Column-Partitioned and a PA
Data Optimization,Data Distribution,20,Hashed Table
Data Optimization,Data Distribution,25,No Primary Index
Data Optimization,Data Distribution,84,Primary Index
Data Optimization,Data Distribution,118,Sparse Map
Data Optimization,Data Distribution,119,Two Maps
Data Optimization,Data Distribution,120,Not System-Default Map
Data Optimization,Data Loading,92,Fastexport Protocol
Data Optimization,Data Loading,93,Fastload Protocol
Data Optimization,Data Loading,94,Multiload Protocol
Data Optimization,Data Loading,96,MloadX Protocol
Data Optimization,Data Management,18,SET Table
Data Optimization,Data Management,19,MULTISET Table
Data Optimization,Data Management,102,Queryable View Column Info
Data Optimization,Data Management,130,Soft RetLimit for number of rows AMP step returns
Data Optimization,Data Management,131,Function Alias
Data Optimization,QueryGrid,58,Query Grid
Data Optimization,QueryGrid,132,QueryGrid Remote Tables
Data Optimization,QueryGrid,133,QueryGrid Common Remote Table Elimination
High Availability,Backup & Restore,59,Data Stream Architecture
High Availability,Backup & Restore,95,Archive/Restore
High Availability,High Availability,17,Fallback
High Availability,High Availability,71,Teradata Unity
High Availability,High Availability,72,Autoreparse
High Availability,High Availability,76,Redrive
High Availability,High Availability,80,Replication
High Availability,High Availability,81,Load Isolation
High Availability,High Availability,83,Partition Level Locking
In-Database Analytics,Advanced Data Types,36,Binary LOB
In-Database Analytics,Advanced Data Types,37,Character LOB
In-Database Analytics,Advanced Data Types,38,Small LOB
In-Database Analytics,Advanced Data Types,41,User Defined Type
In-Database Analytics,Advanced Data Types,42,XML Data Type
In-Database Analytics,Advanced Data Types,43,JSON Data Type
In-Database Analytics,Advanced Data Types,44,Distinct Data Type
In-Database Analytics,Advanced Data Types,45,Structure Data Type
In-Database Analytics,Advanced Data Types,49,Array Data Type
In-Database Analytics,Advanced Data Types,50,Number Data Type
In-Database Analytics,Advanced Data Types,107,Dataset Data Type
In-Database Analytics,Advanced Data Types,108,Dot Notation
In-Database Analytics,Advanced Data Types,126,Dataset Data Type Storage Format CSV
In-Database Analytics,Advanced Data Types,135,SET TRANSFORM
In-Database Analytics,Advanced SQL Function,39,Scalar Sub Query
In-Database Analytics,Advanced SQL Function,74,Teradata Pivot
In-Database Analytics,Advanced SQL Function,75,Teradata Unpivot
In-Database Analytics,Advanced SQL Function,121,LEAD LAG Analytics
In-Database Analytics,Advanced SQL Function,136,ODBC Scalar Functions
In-Database Analytics,Advanced SQL Function,137,Multisource
In-Database Analytics,Geospatial,46,Geospatial
In-Database Analytics,Geospatial,47,3D Geospatial
In-Database Analytics,Geospatial,122,Geospatial Index Single Table Predicate
In-Database Analytics,Geospatial,123,Geospatial Index Single Table Distance Predicate
In-Database Analytics,Geospatial,124,Geospatial Index Join Predicate
In-Database Analytics,Geospatial,125,Geospatial Index Distance Join Predicate
In-Database Analytics,In-Database Programming,21,Trigger
In-Database Analytics,In-Database Programming,51,Teradata Stored Procedure
In-Database Analytics,In-Database Programming,52,User Defined Function
In-Database Analytics,In-Database Programming,53,External Stored Procedure
In-Database Analytics,In-Database Programming,54,Table Function
In-Database Analytics,In-Database Programming,55,Table Operator
In-Database Analytics,In-Database Programming,56,Foreign Function
In-Database Analytics,In-Database Programming,57,Teradata Remote Query
In-Database Analytics,In-Database Programming,97,Fast Path Function
In-Database Analytics,In-Database Programming,98,R Table Operator
In-Database Analytics,In-Database Programming,99,Bit Manipulation Function
In-Database Analytics,In-Database Programming,100,Analytics Extensions
In-Database Analytics,In-Database Programming,106,Script Table Operator
In-Database Analytics,Temporal,34,Teradata Temporal
In-Database Analytics,Temporal,48,Period Data Type
In-Database Analytics,Temporal,129,Time Series Table
Performance,Compression,22,Block Level Compression
Performance,Compression,23,Auto Compression
Performance,Connectivity - ODBC,40,Statement Info Parcel
Performance,Performance - In-Memory,73,Teradata In-Memory
