SiteID,TableKind,Table_Bucket,TableKind_Desc
Default,K,Foreign Server,Foreign Server Object
Default,S,Function,Ordered Analytic Function
Default,R,Function,Table function
Default,F,Function,Standard Function
Default,B,Function,Combined aggregate and ordered analytical function
Default,A,Function,Aggregate Function
Default,D,Function,JAR
Default,2,Function,Function Alias Object
Default,C,Function,Table operator parser contract function
Default,I,Index,Join Index
Default,J,Journal,Journal
Default,M,Macro,Macro
Default,Y,Other,GLOP set
Default,X,Other,Authorization
Default,H,Other,Instance or constructor method
Default,1,Other,DataSet Schema Object
Default,P,Stored Procedure,Stored procedure
Default,E,Stored Procedure,External stored procedure
Default,T,Table,Table
Default,Q,Table,Queue Table
Default,O,Table,Table with no primary index and no partitioning
Default,G,Trigger,Trigger
Default,U,User Defined,User-defined type
Default,L,User Defined,User-defined table operator
Default,Z,User Defined,User installed file
Default,V,View,View
