SiteID,Pattern_Type,Pattern,User_Bucket,User_Department,User_SubDepartment,User_Region,Priority
Default,Equal,Viewpoint,TDInternal,dept,subdept,rgn,100
Default,Equal,TDWM,TDInternal,dept,subdept,rgn,100
Default,Equal,CRASHDUMPS,TDInternal,dept,subdept,rgn,100
Default,Equal,DBC,TDInternal,dept,subdept,rgn,100
Default,Equal,DBMON,TDInternal,dept,subdept,rgn,100
Default,Like,%STG%USER%,ETL,dept,subdept,rgn,2100
Default,Like,BAR_%,Admin,dept,subdept,rgn,2125
Default,Like,%_BAR,Admin,dept,subdept,rgn,2150
Default,Like,DSA_%,Admin,dept,subdept,rgn,2175
Default,Like,%_DSA,Admin,dept,subdept,rgn,2200
Default,Like,ARC_%,Admin,dept,subdept,rgn,2225
Default,Like,%_ARC,Admin,dept,subdept,rgn,2250
Default,Like,DBADMIN%,Admin,dept,subdept,rgn,2500
Default,Like,%_ADMIN,Admin,dept,subdept,rgn,2600
Default,Like,%_DBA,Admin,dept,subdept,rgn,2800
Default,Like,CALLREP%,Analytic,dept,subdept,rgn,4300
Default,Like,%Tableau%,Analytic,dept,subdept,rgn,4400
Default,Like,%BOBJ%,Analytic,dept,subdept,rgn,4500
Default,Like,%_ETL_%,ETL,dept,subdept,rgn,6000
TDCLOUD%TD%,RegEx,[a-z]{2}[0-9]{6},Analytic,dept,subdept,rgn,7000
